title,author,url,author_followers,likes,reposts,replies,posted,snapshot
Instant compaction for Claude,tamarajtran,https://x.com/tamarajtran/status/2100694549362553153,12739,10435,631,390,2026-09-17,2026-09-19
Flight search with Browser Use,gregpr07,https://x.com/gregpr07/status/2100411066966749359,30060,8723,617,260,2026-09-17,2026-09-19
Real-time slop detector as you scroll,RBilgil,https://x.com/RBilgil/status/2100976648552169805,685,7180,210,249,2026-09-19,2026-09-19
"724 competitor ads, broken down",TheMattBerman,https://x.com/TheMattBerman/status/2100654891756589230,12799,6348,389,161,2026-09-17,2026-09-19
Voice-controlled computer use on a Mac,instantricecook,https://x.com/instantricecook/status/2100814590300889426,1015,5016,252,180,2026-09-18,2026-09-19
jev-trader,jarrodwatts,https://x.com/jarrodwatts/status/2100356151468585346,32542,4913,216,288,2026-09-16,2026-09-19
Jev plays Doom,CompleteSkeptic,https://x.com/CompleteSkeptic/status/2099925687465570372,122369,4890,240,92,2026-09-15,2026-09-19
A canvas you control by pointing and speaking,jackcheng,https://x.com/jackcheng/status/2100729670991802386,11724,4797,254,128,2026-09-17,2026-09-19
Jev plays Subway Surfers,_MaxBlade,https://x.com/_MaxBlade/status/2100634359099232678,22962,3956,253,148,2026-09-17,2026-09-19
A real-time ad blocker,iam_zachi,https://x.com/iam_zachi/status/2100529273186472318,4832,3872,139,67,2026-09-17,2026-09-19
500 emails for 3.5 cents,rileybrown,https://x.com/rileybrown/status/2100404532119269426,244870,3853,96,120,2026-09-17,2026-09-19
Jev plays Smash Bros. against itself,maubaron,https://x.com/maubaron/status/2100738237237002706,19783,3620,334,135,2026-09-18,2026-09-19
"Triage across 1,500 emails",ryanvogel,https://x.com/ryanvogel/status/2100042788851101842,18403,3538,106,69,2026-09-16,2026-09-19
700 leads scored in 40 seconds,romanbuildsaas,https://x.com/romanbuildsaas/status/2100891604735099103,20336,3138,203,352,2026-09-18,2026-09-19
Jev plays Super Mario Bros.,faadilhshaik,https://x.com/faadilhshaik/status/2100086301894881578,192,2860,248,87,2026-09-16,2026-09-19
jev() for PostgreSQL,iam_zachi,https://x.com/iam_zachi/status/2100679300756435135,4832,2738,182,119,2026-09-17,2026-09-19
Game levels generated in real time,HugoDuprez,https://x.com/HugoDuprez/status/2100953089003921543,3151,2614,208,125,2026-09-18,2026-09-19
Keystroke oracle,dabit3,https://x.com/dabit3/status/2100756930054504776,194714,2368,132,96,2026-09-18,2026-09-19
jevlike,vinnylarouge,https://x.com/vinnylarouge/status/2100170846346097083,1392,2018,168,48,2026-09-16,2026-09-19
1kpapers,nutlope,https://x.com/nutlope/status/2100426999546184123,100148,1962,139,117,2026-09-17,2026-09-19
A model router on Jev,ephraimduncan,https://x.com/ephraimduncan/status/2100454070536351824,6705,1858,66,83,2026-09-17,2026-09-19
Computer use without screenshots,milindlabs,https://x.com/milindlabs/status/2100631847155994852,4025,1823,97,107,2026-09-17,2026-09-19
Every’s editorial vibe check,danshipper,https://x.com/danshipper/status/2099947471518474522,123938,1818,90,65,2026-09-15,2026-09-19
400 companies matched to one candidate,sarvagya_kul,https://x.com/sarvagya_kul/status/2100980770206879849,5832,1688,74,186,2026-09-18,2026-09-19
"$10,000 in Jev’s hands",abolbuild,https://x.com/abolbuild/status/2100523868913807410,2188,1606,47,107,2026-09-17,2026-09-19
An always-on assistant with no wake word,_MaxBlade,https://x.com/_MaxBlade/status/2100967959879471519,22962,1538,73,82,2026-09-18,2026-09-19
Post scoring with SuperX,robj3d3,https://x.com/robj3d3/status/2100722975645598191,61401,1341,63,82,2026-09-17,2026-09-19
Doomscroll Filter,robj3d3,https://x.com/robj3d3/status/2101074194260000982,61401,1213,47,64,2026-09-18,2026-09-19
Predictive spreadsheets,dabit3,https://x.com/dabit3/status/2100780008193020049,194714,1169,55,38,2026-09-18,2026-09-19
"The X algorithm, rebuilt with Jev",leojrr,https://x.com/leojrr/status/2100470174130250127,22025,1167,26,118,2026-09-17,2026-09-19
"SEO and GEO fixes, 90% cheaper",irabukht,https://x.com/irabukht/status/2101090579127951694,19093,1146,63,55,2026-09-18,2026-09-19
Jev plays Slay the Spire 2,coolish,https://x.com/coolish/status/2100570517954838897,64731,1137,93,356,2026-09-17,2026-09-19
