video_url,published,views,channel,title,snapshot
https://www.youtube.com/watch?v=2Bs0Ink_-Uo,2026-09-17,359278,Rob Shocks,JEV Breakdown: The First AI Model Built For Code,2026-09-20
https://www.youtube.com/watch?v=4mTLpuQpB80,2026-09-18,337547,Greg Isenberg,Jev is HERE. How to use it,2026-09-20
https://www.youtube.com/watch?v=vj7hysh0mOI,2026-09-19,203281,Caleb Writes Code,Jev explained in 7min..,2026-09-20
https://www.youtube.com/watch?v=X117w2Rark8,2026-09-18,197796,Sam Witteveen,Jev - The Ultimate Classification Model?,2026-09-20
https://www.youtube.com/watch?v=QbYBRjOaGOo,2026-09-17,197781,Syntax,Jev Explained: Demos and Use Cases,2026-09-20
https://www.youtube.com/watch?v=FQNftquDDaI,2026-09-18,125565,The PrimeTime,🚨🚨 TRYING JEV : The new STYLE of AI!!! 🚨🚨,2026-09-20
https://www.youtube.com/watch?v=f6We53TnkbU,2026-09-19,117451,David Ondrej,"Build Anything with Jev, Here’s How",2026-09-20
https://www.youtube.com/watch?v=g_GZu-zFenA,2026-09-18,111342,Lucas Montano,JEV vs. ChatGPT & Claude,2026-09-20
https://www.youtube.com/watch?v=o1CogAtWdBk,2026-09-18,106580,Riley Brown,JEV: How It Works and What You Can Build,2026-09-20
https://www.youtube.com/watch?v=RPpQacmBe4A,2026-09-16,80303,RepoChad,Jev: The Schema-Safe AI That Could Change Automation Forever!,2026-09-20
https://www.youtube.com/watch?v=LU6K07U4wOk,2026-09-19,67695,Fazt,Jev de TypeSafe AI: el modelo que NO escribe texto,2026-09-20
https://www.youtube.com/watch?v=9oWxrsRo4d8,2026-09-16,66178,vogel,Meet Jev: The AI Built to Make Decisions,2026-09-20
https://www.youtube.com/watch?v=tYvu6IpSfiM,2026-09-18,63796,01Coder,Jev 实测：这款爆火的极速决策模型的基本玩法,2026-09-20
https://www.youtube.com/watch?v=0nASbjPuMTs,2026-09-19,53377,Simone Rizzo,Jev - La nuova era dell’ai è arrivata (e non genera testo),2026-09-20
https://www.youtube.com/watch?v=mSHGRE4Ljpc,2026-09-19,50276,AI Revolution,JEV Just Broke the Internet: This Is a New Kind of AI,2026-09-20
https://www.youtube.com/watch?v=Nq_lu5QT-fI,2026-09-17,47257,Moritz , AI Systems|Jev: The New AI Model That's Breaking The Internet (Full Tutorial),2026-09-20
https://www.youtube.com/watch?v=9C8opPBjAIk,2026-09-19,40956,Jack Roberts,"Jev AI Just Dropped, And.…",2026-09-20
https://www.youtube.com/watch?v=ZgXej_9isxY,2026-09-20,40439,Codevolution,What is Jev and How to Use it?,2026-09-20
https://www.youtube.com/watch?v=zZNm4zP_lEE,2026-09-18,37858,Mark Kashef,Jev Fully Explained: 10 Practical Ways to Use It,2026-09-20
https://www.youtube.com/watch?v=NZnYCleQX6w,2026-09-19,33600,sentdex,"Jev, Yang & Recursive Self Improvement - Happenings in AI",2026-09-20
https://www.youtube.com/watch?v=B-1nLUAixzI,2026-09-18,33142,Devsplainers,Jev Destroys Claude and GPT on Simple Tasks,2026-09-20
https://www.youtube.com/watch?v=SNJ3yuJ_QwY,2026-09-17,32457,AICodeKing,Jev (Fully Tested) + Browser Use: FASTEST AI Agent I'VE TRIED YET!,2026-09-20
https://www.youtube.com/watch?v=ZZcI9Bfe8AM,2026-09-19,28573,Lukas Margerie,I Tested Jev: Here's What You Can Build,2026-09-20
https://www.youtube.com/watch?v=qdji39XXgEY,2026-09-18,25877,Gary Explains,Jev From TypeSafe is a New Class of AI Model that is FAST and CHEAP - But There is a Caveat!,2026-09-20
https://www.youtube.com/watch?v=xBamYoIVzSs,2026-09-17,24654,Turing Post TV,Is Jev What AI Has Been Missing? I Tested It.,2026-09-20
https://www.youtube.com/watch?v=KupJ__UWySc,2026-09-20,20142,dreadjordan,Jev: The Bar for AI hype is LOW,2026-09-20
https://www.youtube.com/watch?v=NIlQsncfVYs,2026-09-16,16770,AISeeKing,System One Jev (Fully Explained): Does this really beat Transformer models? (Astra & Fable?),2026-09-20
https://www.youtube.com/watch?v=NUXkJi9enYE,2026-09-16,15061,Alessio Garau,Jev di TypeSafe AI: capiamo insieme la novità,2026-09-20
https://www.youtube.com/watch?v=X8Outd-khS0,2026-09-15,13822,Fahd Mirza,Jev: The Model That Killed Chat GPT's Core Idea? RLCD Explained,2026-09-20
https://www.youtube.com/watch?v=5Lx4DLLYafM,2026-09-17,11925,Neural Breakdown with AVB,Livestream Coding with the new TypeSafe AI JEV Model | Parallel Constrained Decoding,2026-09-20
https://www.youtube.com/watch?v=jPrc1zdqq4A,2026-09-19,11845,Erwan , IA|JEV expliqué et testé en 9 minutes (Sans Hype),2026-09-20
https://www.youtube.com/watch?v=Ipom6c1fcP0,2026-09-16,11703,Tech Brew Ride Home Podcast,"What Is Jev, the New Model From TypeSafe AI? | Tech Brew Ride Home Podcast",2026-09-20
https://www.youtube.com/watch?v=CcmqPS6q9Gw,2026-09-18,11320,Joe Maddalone,I tried TypeSafe's System One Model: Jev,2026-09-20
https://www.youtube.com/watch?v=INB6OeGaqps,2026-09-19,10703,Julian Goldie SEO,Jev AI: Build & Automate ANYTHING!,2026-09-20
https://www.youtube.com/watch?v=7FTD-daRZuE,2026-09-20,8482,AI with Surya,JEV AI is the NEW BEAST Model with Speed and Cost,2026-09-20
https://www.youtube.com/watch?v=pU73lYF7R1I,2026-09-19,7608,Jeremy Chone,JEV / TypeSafe AI API & Rust - Let make a rust lb,2026-09-20
https://www.youtube.com/watch?v=LB6kHTowL_A,2026-09-20,7233,Mike Codeur,JEV : la hype est-elle justifiée ?,2026-09-20
https://www.youtube.com/watch?v=4_Wks0WLwgo,2026-09-18,7063,Ben's AI Trading Lab,I Let Jev AI Trade Every 30 Seconds for 24 Hours,2026-09-20
https://www.youtube.com/watch?v=53wDOI_7x8I,2026-09-20,6237,Sam Witteveen,Open Jev Models Are Here!!,2026-09-20
https://www.youtube.com/watch?v=-LKjIGNJT_I,2026-09-20,5029,Julian Goldie SEO,How to Use Jev AI for FREE!,2026-09-20
https://www.youtube.com/watch?v=iBvJ44TZwhQ,2026-09-18,4361,AI WITH Rithesh,Jev AI Is WILD… You NEED to See These Demos!,2026-09-20
https://www.youtube.com/watch?v=FPhDl_MwT8U,2026-09-18,4150,The Fintech Builder,I Tested Jev on 300 AI Trading Decisions — The Benchmark Exposed This,2026-09-20
https://www.youtube.com/watch?v=NFKHLhAvj1g,2026-09-18,2890,Alex Hitt,Jev Ultrafast GitHub: How TypeSafe AI Makes Browser Agents Faster,2026-09-20
https://www.youtube.com/watch?v=Hz8tobAFBVM,2026-09-20,2628,Julian Goldie SEO,Jev AI Full COURSE 1 HOUR (Build & Automate Anything),2026-09-20
https://www.youtube.com/watch?v=Hr3srtB6lZ8,2026-09-20,2284,스마트대디_SmartDaddy,"챗GPT보다 200배 빠른 AI의 등장, JEV 완전 분석",2026-09-20
https://www.youtube.com/watch?v=1cuUm-k3e9Y,2026-09-16,2198,GenAI Geek,TypeSafe Jev: Not a Chatbot!,2026-09-20
https://www.youtube.com/watch?v=i7oWKWcf4DI,2026-09-18,2020,Data Science in your pocket,How to use Jev AI for free ?,2026-09-20
https://www.youtube.com/watch?v=dZnKGHsImxo,2026-09-20,1911,Data Science in your pocket,Laya : Bye TypeSafe Jev AI,2026-09-20
https://www.youtube.com/watch?v=qHx9GBEX_E8,2026-09-17,1686,Fru Dev,"Jev AI, System One Is INSANE... 193x Faster Than LLMs?!",2026-09-20
https://www.youtube.com/watch?v=_IdrETf4o-U,2026-09-16,1479,The Runtime Report,"TypeSafe Launches Jev, an AI That Can't Hallucinate",2026-09-20
https://www.youtube.com/watch?v=RDvj3u642Js,2026-09-19,1013,Venelin Valkov,Jev - General Classification Model First Test | BERT Models Are Back?,2026-09-20
https://www.youtube.com/watch?v=BWl21_Tpxl8,2026-09-18,852,z2zlife,[TypeSafe Jev] 화제의 초고속 TypeSafe Jev. 비용 400배 줄인 AI,2026-09-20
https://www.youtube.com/watch?v=pU88Ia3h7ic,2026-09-15,636,Cold Boot,TypeSafe AI Unveils Jev: Structured Decision Model,2026-09-20
https://www.youtube.com/watch?v=47-u2is2fYA,2026-09-17,621,Codex Dairy ,Jev AI: The New System One Model Explained | 193x Faster?,2026-09-20
https://www.youtube.com/watch?v=jr6vnYhHEO0,2026-09-19,588,plain.,Jev by TypeSafe explained in 8 minutes,2026-09-20
https://www.youtube.com/watch?v=no9G3N8PSIk,2026-09-20,454,Prism Labs,TypeSafe Jev Fact-Check: The 200x AI Hype vs What's Proven,2026-09-20
https://www.youtube.com/watch?v=d9lCIVc5AyU,2026-09-20,389,Mayank Aggarwal,Jev: The AI Model That's Breaking The Internet (Full Tutorial),2026-09-20
https://www.youtube.com/watch?v=QKafJHkYrRE,2026-09-19,256,AiNow,Jev by TypeSafe AI: System One Model Explained With Live Demos,2026-09-20
https://www.youtube.com/watch?v=a51UNY6rsnI,2026-09-19,238,ChatMaxima,TypeSafe Jev Explained: The AI That Can't Talk (and Why It Matters for Chatbots),2026-09-20
https://www.youtube.com/watch?v=sGDWOMbKGHk,2026-09-20,173,Leveling Up with Eric Siu,Jev Supercharged All Of Your AI Agents By 100x,2026-09-20
https://www.youtube.com/watch?v=w3Ks3ezL3CQ,2026-09-20,99,Kilo Loco,What is Jev? Complete Quick Start Walkthrough,2026-09-20
https://www.youtube.com/watch?v=ZJLZ4-Rs5wM,2026-09-19,88,"Deep Learner, One Step at a Time",Jev (TypeSafe) : 200x plus rapide... mais comparé à quoi exactement ?,2026-09-20
https://www.youtube.com/watch?v=XbnSf9kD-Ko,2026-09-20,55,Web ," Coding | Security|Jev Explained: TypeSafe AI's ""System One"" Model That Never Writes Text",2026-09-20
https://www.youtube.com/watch?v=ij8S3w7OWJs,2026-09-19,39,Latent AI,Jev: The Decision Model That Refuses to Write (Audio Deep Dive),2026-09-20
https://www.youtube.com/watch?v=BtpLqyWGZUA,2026-09-20,27,Akshara Hegde,What Is Jev? TypeSafe's System One Model Explained,2026-09-20
